Gene,Gene_single,mean log2(fold),mean -log10  p value ,significant in n/4 datasets
AAGAB,AAGAB,"0,336005232","1,939442786",3
ACAT1,ACAT1,"-1,003376745","2,696451674",3
ADAM10,ADAM10,"0,8184000378","2,124812876",3
AGK,AGK,"-0,636227491","2,709365",3
AHCY,AHCY,"-0,3746942977","1,766134961",4
AP3B1;AP3B2,AP3B1,"-0,2911819331","2,356514362",3
ARFIP1,ARFIP1,"0,2775183457","1,645523381",3
ARMC1,ARMC1,"0,4657678219","2,151176049",3
ARPC3,ARPC3,"-0,4361572713","2,108149468",3
ATOX1,ATOX1,"-0,3711244588","1,427288545",3
ATP1A1,ATP1A1,"-0,5146051447","2,489916123",3
ATP5C1,ATP5C1,"-0,524003158","1,945027545",3
ATP5F1,ATP5F1,"-0,428209078","1,97993434",3
ATP5H,ATP5H,"-1,392588593","2,821857129",3
ATP5I,ATP5I,"-0,8571515667","2,580059823",3
BAG5,BAG5,"0,7565098306","1,741667499",3
BBS9,BBS9,"-0,4726636993","1,402366429",3
BCAP29,BCAP29,"-0,4485408415","2,339203316",3
BCL9,BCL9,"0,331254743","2,363476701",3
BPNT1,BPNT1,"0,2863207588","1,83928567",3
C19orf43,C19orf43,"-0,4440317353","1,843742799",3
C1QBP,C1QBP,"-0,7883034274","1,828670744",3
CAPRIN1,CAPRIN1,"-0,3778503504","1,676884451",3
CDC37,CDC37,"-0,3346138398","2,247415152",3
CDKN2A,CDKN2A,"0,4531580942","2,042852483",3
CDR2,CDR2,"0,3147508241","1,33200598",3
CHAF1B,CHAF1B,"-0,3570296864","1,431465",3
CHCHD2;CHCHD2P9,CHCHD2,"-0,3061814581","1,923875487",3
CHMP3,CHMP3,"-0,4145465121","2,411368394",3
CLIC1,CLIC1,"0,5036919887","1,727505212",4
CLSTN1,CLSTN1,"0,303741691","1,627220878",3
CMPK1,CMPK1,"0,6523735945","2,510137151",3
COX4I1,COX4I1,"-0,9429752628","2,84840107",3
COX5B,COX5B,"0,6157222332","2,483122195",4
COX6A1,COX6A1,"1,57908138","3,402893935",3
COX6C,COX6C,"-1,616002773","2,597241245",3
COX7A2L,COX7A2L,"-0,7893548409","1,929816807",3
CPOX,CPOX,"-0,6990360481","3,134188454",3
CS,CS,"-0,4775177207","2,064421417",3
CTPS1,CTPS1,"0,3365844923","1,541655147",3
CUL2,CUL2,"0,390733971","2,872469937",3
CYR61,CYR61,"0,2791905974","1,688116659",3
DAG1,DAG1,"0,5119725226","1,074149172",3
DAPK1,DAPK1,"1,003518106","2,361652881",3
DDX52,DDX52,"0,4065004562","1,405844279",3
DOT1L,DOT1L,"-0,4854747082","2,137176748",3
EEF1D,EEF1D,"-0,3633046597","1,847618849",3
EEF1G,EEF1G,"-0,5733475718","2,653204967",4
EEF2,EEF2,"-0,4365873602","1,611452239",3
EIF2B3,EIF2B3,"0,4755126312","2,418177712",3
EIF3F,EIF3F,"-0,3445974125","1,746780222",3
EIF3H,EIF3H,"-0,3643947165","1,768240841",3
EIF4B,EIF4B,"-0,308518413","1,316672108",3
EIF4G2,EIF4G2,"0,2634082635","2,215847151",3
EMC2,EMC2,"0,717580609","2,53448193",3
ENAH,ENAH,"-0,3723553783","1,622019061",3
ERCC2,ERCC2,"0,6757479608","1,585107373",3
FAM136A,FAM136A,"-0,5648039474","2,073827068",3
FAM162A,FAM162A,"-0,9457499012","2,21703684",3
FH,FH,"-0,2797512511","2,237916779",3
GBF1,GBF1,"0,3678306101","1,633453805",3
GLB1,GLB1,"0,3129125498","1,600206928",3
GLUL,GLUL,"-0,4949662487","2,638189354",3
GMDS,GMDS,"-0,4254066274","2,357129452",3
GNB2L1,GNB2L1,"-0,605827964","1,820597811",3
GOT2,GOT2,"-0,6849829853","2,365693065",3
GTF2F2,GTF2F2,"-0,377026204","1,672232782",3
GTPBP8,GTPBP8,"-0,9795342448","1,835213521",3
HADH,HADH,"-0,434757986","2,070012024",3
HADHA,HADHA,"-0,4202779784","1,790356265",3
HADHB,HADHB,"-0,474302868","1,590788196",3
HIST1H1C,HIST1H1C,"-0,277637389","1,563784464",3
HIST2H2AA3;HIST2H2AC,HIST2H2AA3,"0,2986917968","0,9110990508",3
HMGA1,HMGA1,"-0,4553845823","1,734269329",3
HMGB2,HMGB2,"-0,3239718477","1,638869975",3
HNRNPDL,HNRNPDL,"-0,2784618884","1,106346238",3
HSD17B12,HSD17B12,"0,6817192758","2,700981296",3
HSPA9,HSPA9,"-0,2720029818","1,78485129",3
IDH2,IDH2,"-0,5289354275","3,357958054",3
IFRD1,IFRD1,"0,7349658596","2,928512244",3
ILF3,ILF3,"-0,3228819668","2,889599462",3
IMMT,IMMT,"-0,5050157035","2,581279923",4
IRF2BP1,IRF2BP1,"0,5435609433","2,411067572",3
KHSRP,KHSRP,"-0,309867041","2,07288823",4
KIAA0196,KIAA0196,"0,2777184558","2,400614996",3
KIAA0391,KIAA0391,"-0,5894168268","2,633535787",3
KPNA2,KPNA2,"-0,3158252918","2,260439777",4
LAMTOR1,LAMTOR1,"0,4304107626","1,423887949",3
LMAN1,LMAN1,"-0,3011905315","2,147868546",3
LSM7,LSM7,"0,2798185125","1,449232028",3
MDH2,MDH2,"-0,5022000406","2,274143716",3
MGME1,MGME1,"-0,5201105289","2,724913321",3
MNAT1,MNAT1,"-0,309431533","2,563962024",3
MPC2,MPC2,"-0,5249131843","2,697849997",3
MRPL17,MRPL17,"-0,5511571374","2,495808559",3
MRPL19,MRPL19,"-0,341309807","1,478429683",3
MRPL28,MRPL28,"-0,7595364973","1,544833387",3
MRPL3,MRPL3,"-0,6572947092","2,411914238",3
MRPL39,MRPL39,"-0,3814741572","2,125396194",3
MRPL40,MRPL40,"-1,001983558","2,210444619",3
MRPL41,MRPL41,"-0,6942204552","1,847443407",3
MRPL42,MRPL42,"-1,015618078","2,986968011",3
MRPL45,MRPL45,"-0,4575345653","1,845898321",3
MRPL47,MRPL47,"-0,4362742566","1,985992674",3
MRPL49,MRPL49,"-0,2637432702","1,96436911",4
MRPL51,MRPL51,"-1,002685388","2,709738929",3
MRPL9,MRPL9,"-0,8163158223","2,225878735",3
MRPS15,MRPS15,"-0,6469058966","2,466748544",3
MRPS16,MRPS16,"-0,5710253691","2,149885014",3
MRPS21,MRPS21,"-1,244490342","3,036429534",3
MRPS22,MRPS22,"-0,6656293869","2,927255069",3
