"Gene","Gene_single","mean log2(fold)","mean -log10  p value","significant in n/4 datasets","rank","bins","Function [CC]","Protein names"
"AAGAB","AAGAB",0.336005232,1.939442786,3,39,"(0.3,0.4]","FUNCTION: May be involved in endocytic recycling of growth factor receptors such as EGFR. {ECO:0000269|PubMed:23064416}.","Alpha- and gamma-adaptin-binding protein p34"
"ACAT1","ACAT1",-1.003376745,2.696451674,3,229,"(-1.1,-1]","FUNCTION: This is one of the enzymes that catalyzes the last step of the mitochondrial beta-oxidation pathway, an aerobic process breaking down fatty acids into acetyl-CoA (PubMed:1715688, PubMed:7728148, PubMed:9744475). Using free coenzyme A/CoA, catalyzes the thiolytic cleavage of medium- to long-chain 3-oxoacyl-CoAs into acetyl-CoA and a fatty acyl-CoA shortened by two carbon atoms (PubMed:1715688, PubMed:7728148, PubMed:9744475). The activity of the enzyme is reversible and it can also catalyze the condensation of two acetyl-CoA molecules into acetoacetyl-CoA (PubMed:17371050). Thereby, it plays a major role in ketone body metabolism (PubMed:1715688, PubMed:17371050, PubMed:7728148, PubMed:9744475). {ECO:0000269|PubMed:1715688, ECO:0000269|PubMed:17371050, ECO:0000269|PubMed:7728148, ECO:0000269|PubMed:9744475}.","Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)"
"ADAM10","ADAM10",0.8184000378,2.124812876,3,3,"(0.8,0.9]","FUNCTION: Transmembrane metalloprotease which mediates the ectodomain shedding of a myriad of transmembrane proteins, including adhesion proteins, growth factor precursors and cytokines being essential for development and tissue homeostasis (PubMed:11786905, PubMed:12475894, PubMed:20592283, PubMed:24990881, PubMed:26686862, PubMed:28600292, PubMed:31792032). Associates with six members of the tetraspanin superfamily TspanC8 which regulate its exit from the endoplasmic reticulum and its substrate selectivity (PubMed:26686862, PubMed:28600292, PubMed:31792032, PubMed:34739841, PubMed:37516108). Cleaves the membrane-bound precursor of TNF-alpha at '76-Ala-|-Val-77' to its mature soluble form. Responsible for the proteolytical release of soluble JAM3 from endothelial cells surface (PubMed:20592283). Responsible for the proteolytic release of several other cell-surface proteins, including heparin-binding epidermal growth-like factor, ephrin-A2, CD44, CDH2 and for constitutive and regulated alpha-secretase cleavage of amyloid precursor protein (APP) (PubMed:11786905, PubMed:26686862, PubMed:29224781, PubMed:34739841). Contributes to the normal cleavage of the cellular prion protein (PubMed:11477090). Involved in the cleavage of the adhesion molecule L1 at the cell surface and in released membrane vesicles, suggesting a vesicle-based protease activity (PubMed:12475894). Also controls the proteolytic processing of Notch and mediates lateral inhibition during neurogenesis (By similarity). Responsible for the FasL ectodomain shedding and for the generation of the remnant ADAM10-processed FasL (FasL APL) transmembrane form (PubMed:17557115). Also cleaves the ectodomain of the integral membrane proteins CORIN and ITM2B (PubMed:19114711, PubMed:21288900). Mediates the proteolytic cleavage of LAG3, leading to release the secreted form of LAG3 (By similarity). Mediates the proteolytic cleavage of IL6R and IL11RA, leading to the release of secreted forms of IL6R and IL11RA (PubMed:26876177). Enhances the cleavage of CHL1 by BACE1 (By similarity). Cleaves NRCAM (By similarity). Cleaves TREM2, resulting in shedding of the TREM2 ectodomain (PubMed:24990881). Involved in the development and maturation of glomerular and coronary vasculature (By similarity). During development of the cochlear organ of Corti, promotes pillar cell separation by forming a ternary complex with CADH1 and EPHA4 and cleaving CADH1 at adherens junctions (By similarity). May regulate the EFNA5-EPHA3 signaling (PubMed:16239146). Regulates leukocyte transmigration as a sheddase for the adherens junction protein VE-cadherin/CDH5 in endothelial cells (PubMed:28600292). {ECO:0000250|UniProtKB:O35598, ECO:0000269|PubMed:11477090, ECO:0000269|PubMed:11786905, ECO:0000269|PubMed:12475894, ECO:0000269|PubMed:16239146, ECO:0000269|PubMed:17557115, ECO:0000269|PubMed:19114711, ECO:0000269|PubMed:20592283, ECO:0000269|PubMed:21288900, ECO:0000269|PubMed:24990881, ECO:0000269|PubMed:26686862, ECO:0000269|PubMed:26876177, ECO:0000269|PubMed:28600292, ECO:0000269|PubMed:29224781, ECO:0000269|PubMed:31792032, ECO:0000269|PubMed:34739841, ECO:0000269|PubMed:37516108}.; FUNCTION: (Microbial infection) Promotes the cytotoxic activity of S.aureus hly by binding to the toxin at zonula adherens and promoting formation of toxin pores. {ECO:0000269|PubMed:20624979, ECO:0000269|PubMed:30463011}.","Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)"
"AGK","AGK",-0.636227491,2.709365,3,195,"(-0.7,-0.6]","FUNCTION: Lipid kinase that can phosphorylate both monoacylglycerol and diacylglycerol to form lysophosphatidic acid (LPA) and phosphatidic acid (PA), respectively (PubMed:15939762). Does not phosphorylate sphingosine (PubMed:15939762). Phosphorylates ceramide (By similarity). Phosphorylates 1,2-dioleoylglycerol more rapidly than 2,3-dioleoylglycerol (By similarity). Independently of its lipid kinase activity, acts as a component of the TIM22 complex (PubMed:28712724, PubMed:28712726). The TIM22 complex mediates the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane by forming a twin-pore translocase that uses the membrane potential as the external driving force (PubMed:28712724, PubMed:28712726). In the TIM22 complex, required for the import of a subset of metabolite carriers into mitochondria, such as ANT1/SLC25A4 and SLC25A24, while it is not required for the import of TIMM23 (PubMed:28712724). Overexpression increases the formation and secretion of LPA, resulting in transactivation of EGFR and activation of the downstream MAPK signaling pathway, leading to increased cell growth (PubMed:15939762). {ECO:0000250|UniProtKB:Q9ESW4, ECO:0000269|PubMed:15939762, ECO:0000269|PubMed:28712724, ECO:0000269|PubMed:28712726}.","Acylglycerol kinase, mitochondrial (hAGK) (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase) (HsMuLK) (MuLK) (Multi-substrate lipid kinase)"
"AHCY","AHCY",-0.3746942977,1.766134961,4,108,"(-0.4,-0.3]","FUNCTION: Catalyzes the hydrolysis of S-adenosyl-L-homocysteine to form adenosine and homocysteine (PubMed:10933798). Binds copper ions (By similarity). {ECO:0000250|UniProtKB:P50247, ECO:0000269|PubMed:10933798}.","Adenosylhomocysteinase (AdoHcyase) (EC 3.13.2.1) (S-adenosyl-L-homocysteine hydrolase)"
"AP3B1;AP3B2","AP3B1",-0.2911819331,2.356514362,3,70,"(-0.3,-0.2]","FUNCTION: Subunit of non-clathrin- and clathrin-associated adaptor protein complex 3 (AP-3) that plays a role in protein sorting in the late-Golgi/trans-Golgi network (TGN) and/or endosomes. The AP complexes mediate both the recruitment of clathrin to membranes and the recognition of sorting signals within the cytosolic tails of transmembrane cargo molecules. AP-3 appears to be involved in the sorting of a subset of transmembrane proteins targeted to lysosomes and lysosome-related organelles. In concert with the BLOC-1 complex, AP-3 is required to target cargos into vesicles assembled at cell bodies for delivery into neurites and nerve terminals. {ECO:0000305|PubMed:9151686}.","AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)"
"ARFIP1","ARFIP1",0.2775183457,1.645523381,3,56,"(0.2,0.3]","FUNCTION: Plays a role in controlling biogenesis of secretory granules at the trans-Golgi network (PubMed:22981988). Mechanistically, binds ARF-GTP at the neck of a growing secretory granule precursor and forms a protective scaffold (PubMed:22981988, PubMed:9038142). Once the granule precursor has been completely loaded, active PRKD1 phosphorylates ARFIP1 and releases it from ARFs (PubMed:22981988). In turn, ARFs induce fission (PubMed:22981988). Through this mechanism, ensures proper secretory granule formation at the Golgi of pancreatic beta cells (PubMed:22981988). {ECO:0000269|PubMed:22981988, ECO:0000269|PubMed:9038142}.","Arfaptin-1 (ADP-ribosylation factor-interacting protein 1)"
"ARMC1","ARMC1",0.4657678219,2.151176049,3,23,"(0.4,0.5]","FUNCTION: In association with mitochondrial contact site and cristae organizing system (MICOS) complex components and mitochondrial outer membrane sorting assembly machinery (SAM) complex components may regulate mitochondrial dynamics playing a role in determining mitochondrial length, distribution and motility. {ECO:0000269|PubMed:31644573}.","Armadillo repeat-containing protein 1"
"ARPC3","ARPC3",-0.4361572713,2.108149468,3,135,"(-0.5,-0.4]","FUNCTION: Component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF) (PubMed:9230079). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility (PubMed:9230079). In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA (PubMed:29925947). The Arp2/3 complex promotes homologous recombination (HR) repair in response to DNA damage by promoting nuclear actin polymerization, leading to drive motility of double-strand breaks (DSBs) (PubMed:29925947). {ECO:0000269|PubMed:29925947, ECO:0000269|PubMed:9230079}.","Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC)"
"ATOX1","ATOX1",-0.3711244588,1.427288545,3,105,"(-0.4,-0.3]","FUNCTION: Binds and deliver cytosolic copper to the copper ATPase proteins. May be important in cellular antioxidant defense.","Copper transport protein ATOX1 (Metal transport protein ATX1)"
