From	Entry	Protein names	Gene Names	Function [CC]	Gene Ontology (cellular component)	Interacts with
AAGAB	Q6PD74	Alpha- and gamma-adaptin-binding protein p34	AAGAB	FUNCTION: May be involved in endocytic recycling of growth factor receptors such as EGFR. {ECO:0000269|PubMed:23064416}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]	O43747-2; Q96PC3; Q96PC3-2; O94973; P53680; Q96ES5
AAGAB	H0YL49	Alpha and gamma adaptin binding protein	AAGAB			
ACAT1	P24752	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)	ACAT1 ACAT MAT	FUNCTION: This is one of the enzymes that catalyzes the last step of the mitochondrial beta-oxidation pathway, an aerobic process breaking down fatty acids into acetyl-CoA (PubMed:1715688, PubMed:7728148, PubMed:9744475). Using free coenzyme A/CoA, catalyzes the thiolytic cleavage of medium- to long-chain 3-oxoacyl-CoAs into acetyl-CoA and a fatty acyl-CoA shortened by two carbon atoms (PubMed:1715688, PubMed:7728148, PubMed:9744475). The activity of the enzyme is reversible and it can also catalyze the condensation of two acetyl-CoA molecules into acetoacetyl-CoA (PubMed:17371050). Thereby, it plays a major role in ketone body metabolism (PubMed:1715688, PubMed:17371050, PubMed:7728148, PubMed:9744475). {ECO:0000269|PubMed:1715688, ECO:0000269|PubMed:17371050, ECO:0000269|PubMed:7728148, ECO:0000269|PubMed:9744475}.	endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]	
ACAT1	P35610	Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1)	SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT	FUNCTION: Catalyzes the formation of fatty acid-cholesterol esters, which are less soluble in membranes than cholesterol (PubMed:16154994, PubMed:16647063, PubMed:32433613, PubMed:32433614, PubMed:32944968, PubMed:9020103). Plays a role in lipoprotein assembly and dietary cholesterol absorption (PubMed:16154994, PubMed:9020103). Preferentially utilizes oleoyl-CoA ((9Z)-octadecenoyl-CoA) as a substrate: shows a higher activity towards an acyl-CoA substrate with a double bond at the delta-9 position (9Z) than towards saturated acyl-CoA or an unsaturated acyl-CoA with a double bond at the delta-7 (7Z) or delta-11 (11Z) positions (PubMed:11294643, PubMed:32433614). {ECO:0000269|PubMed:11294643, ECO:0000269|PubMed:16154994, ECO:0000269|PubMed:16647063, ECO:0000269|PubMed:32433613, ECO:0000269|PubMed:32433614, ECO:0000269|PubMed:32944968, ECO:0000269|PubMed:9020103}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]	Q8N4J0; P54274; Q9Y5Z9; P35610-1; Q9Y5Z9
ACAT1	A0A5F9ZHD4	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	ACAT1	FUNCTION: This is one of the enzymes that catalyzes the last step of the mitochondrial beta-oxidation pathway, an aerobic process breaking down fatty acids into acetyl-CoA. Using free coenzyme A/CoA, catalyzes the thiolytic cleavage of medium- to long-chain 3-oxoacyl-CoAs into acetyl-CoA and a fatty acyl-CoA shortened by two carbon atoms. The activity of the enzyme is reversible and it can also catalyze the condensation of two acetyl-CoA molecules into acetoacetyl-CoA. Thereby, it plays a major role in ketone body metabolism. {ECO:0000256|ARBA:ARBA00045244}.	mitochondrion [GO:0005739]	
ACAT1	A0A5F9ZHH9	Acetyl-CoA acetyltransferase 1	ACAT1			
ACAT1	A0A5F9ZHJ0	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	ACAT1	FUNCTION: This is one of the enzymes that catalyzes the last step of the mitochondrial beta-oxidation pathway, an aerobic process breaking down fatty acids into acetyl-CoA. Using free coenzyme A/CoA, catalyzes the thiolytic cleavage of medium- to long-chain 3-oxoacyl-CoAs into acetyl-CoA and a fatty acyl-CoA shortened by two carbon atoms. The activity of the enzyme is reversible and it can also catalyze the condensation of two acetyl-CoA molecules into acetoacetyl-CoA. Thereby, it plays a major role in ketone body metabolism. {ECO:0000256|ARBA:ARBA00045244}.	mitochondrion [GO:0005739]	
ACAT1	A0A5F9ZHJ7	Acetyl-CoA acetyltransferase, mitochondrial	ACAT1	FUNCTION: This is one of the enzymes that catalyzes the last step of the mitochondrial beta-oxidation pathway, an aerobic process breaking down fatty acids into acetyl-CoA. Using free coenzyme A/CoA, catalyzes the thiolytic cleavage of medium- to long-chain 3-oxoacyl-CoAs into acetyl-CoA and a fatty acyl-CoA shortened by two carbon atoms. The activity of the enzyme is reversible and it can also catalyze the condensation of two acetyl-CoA molecules into acetoacetyl-CoA. Thereby, it plays a major role in ketone body metabolism. {ECO:0000256|ARBA:ARBA00045244}.		
ACAT1	A0A5F9ZHL1	Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9)	ACAT1	FUNCTION: This is one of the enzymes that catalyzes the last step of the mitochondrial beta-oxidation pathway, an aerobic process breaking down fatty acids into acetyl-CoA. Using free coenzyme A/CoA, catalyzes the thiolytic cleavage of medium- to long-chain 3-oxoacyl-CoAs into acetyl-CoA and a fatty acyl-CoA shortened by two carbon atoms. The activity of the enzyme is reversible and it can also catalyze the condensation of two acetyl-CoA molecules into acetoacetyl-CoA. Thereby, it plays a major role in ketone body metabolism. {ECO:0000256|ARBA:ARBA00045244}.	mitochondrion [GO:0005739]	
ACAT1	A0A5F9ZHL7	Acetyl-CoA acetyltransferase 1	ACAT1			
